title,slug,year,coords,theme,era,region,notable_figures,visuals,prompt,image_url,difficulty,source,id,country,city,notable_location,era_id,theme_id,caption,wiki_url,broad_era
Valentina Tereshkova becomes the first woman in space aboard Vostok 6,valentina-tereshkova-becomes-the-first-woman-in-space-aboard-vostok-6,1963,"[45.92, 63.3422]",scientific & technological breakthroughs,Cold War Europe,Europe,Valentina Tereshkova,Vostok 6 spacecraft; Valentina Tereshkova in a space suit; Earth from space; 1960s Soviet space control room; launch pad at Baikonur Cosmodrome,"A highly detailed, photo-realistic image of Valentina Tereshkova becomes the first woman in space aboard Vostok 6 as it might have appeared at the time. The scene includes Vostok 6 spacecraft, Valentina Tereshkova in a space suit, Earth from space, 1960s Soviet space control room, launch pad at Baikonur Cosmodrome, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/valentina-tereshkova-becomes-the-first-woman-in-space-aboard-vostok-6.jpg,3,AI-generated based on historical records,bad75085-eab7-4cdc-b93a-dfc5cd0000e0,Soviet Union,,Baikonur Cosmodrome,25,6,"In 1963, Valentina Tereshkova made history as the first woman to travel into space, orbiting Earth aboard the Vostok 6 spacecraft.",https://en.wikipedia.org/wiki/Valentina_Tereshkova,8. 20th Century
The marriage of Ferdinand of Aragon and Isabella of Castile unifies Spain,the-marriage-of-ferdinand-of-aragon-and-isabella-of-castile-unifies-spain,1469,"[41.6561, -4.7245]",royalty & coronations,Renaissance Europe,Europe,"Ferdinand of Aragon, Isabella of Castile",a grand medieval cathedral; Ferdinand and Isabella in regal attire; noble guests in period clothing; medieval banners and flags; a richly decorated altar,"A highly detailed, photo-realistic image of The marriage of Ferdinand of Aragon and Isabella of Castile unifies Spain as it might have appeared at the time. The scene includes a grand medieval cathedral, Ferdinand and Isabella in regal attire, noble guests in period clothing, medieval banners and flags, and a richly decorated altar, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-marriage-of-ferdinand-of-aragon-and-isabella-of-castile-unifies-spain.jpg,3,AI-generated based on historical records,46eb9223-128e-4569-9ef5-e4e68ac415e6,Spain,Valladolid,Palace of the Vivero,19,11,"The union of Ferdinand and Isabella in 1469 marked a pivotal moment in Spanish history, laying the foundation for the unification of Spain and the eventual rise of a powerful empire.",https://en.wikipedia.org/wiki/Ferdinand_and_Isabella,5. Middle Ages
The Battle of Tenochtitlan,the-battle-of-tenochtitlan,1521,"[19.4326, -99.1332]",wars & battles,Colonial Americas,Americas,"Hernán Cortés, Cuauhtémoc",Aztec warriors in traditional attire; Spanish conquistadors with armor and weapons; ruins of Tenochtitlan; Lake Texcoco; burning temples,"A highly detailed, photo-realistic image of The Battle of Tenochtitlan as it might have appeared at the time. The scene includes Aztec warriors in traditional attire, Spanish conquistadors with armor and weapons, ruins of Tenochtitlan, Lake Texcoco, and burning temples, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-battle-of-tenochtitlan.jpg,3,AI-generated based on historical records,af72b544-556a-429b-97fb-74c4f02c0f95,Mexico,Mexico City,Tenochtitlan,51,1,The fall of Tenochtitlan marked the end of the Aztec Empire and the beginning of Spanish dominance in the region.,https://en.wikipedia.org/wiki/Fall_of_Tenochtitlan,6. Early Modern Era
"Indira Gandhi becomes Prime Minister of India, the country’s first woman leader",indira-gandhi-becomes-prime-minister-of-india-the-country-s-first-woman-leader,1966,"[28.6139, 77.209]",foundational political moments,Independent India,Asia,Indira Gandhi,Indira Gandhi taking the oath of office; traditional Indian attire of the 1960s; government officials in attendance; Indian national symbols; architecture of the Indian Parliament,"A highly detailed, photo-realistic image of Indira Gandhi becoming Prime Minister of India, the country’s first woman leader, as it might have appeared at the time. The scene includes Indira Gandhi taking the oath of office, traditional Indian attire of the 1960s, government officials in attendance, Indian national symbols, and the architecture of the Indian Parliament, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/indira-gandhi-becomes-prime-minister-of-india-the-country-s-first-woman-leader.jpg,3,AI-generated based on historical records,3da5886a-6c5e-4b6d-8923-278bc73b7a01,India,New Delhi,Indian Parliament,35,2,"In 1966, Indira Gandhi shattered political glass ceilings by becoming India's first female Prime Minister, marking a pivotal moment in the nation's history.",https://en.wikipedia.org/wiki/Indira_Gandhi,8. 20th Century
The Viking siege of Paris,the-viking-siege-of-paris,845,"[48.8566, 2.3522]",wars & battles,Medieval Europe,Europe,"Ragnar Lodbrok, Charles the Bald",Viking longships on the Seine River; medieval Paris cityscape; Viking warriors in battle; defensive fortifications; medieval French soldiers,"A highly detailed, photo-realistic image of The Viking siege of Paris as it might have appeared at the time. The scene includes Viking longships on the Seine River, medieval Paris cityscape, Viking warriors in battle, defensive fortifications, and medieval French soldiers, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-viking-siege-of-paris.jpg,3,AI-generated based on historical records,01d70def-6e3e-4d85-b18c-ce4ea4b8d401,France,Paris,Seine River,18,1,"In 845, Viking forces led by Ragnar Lodbrok besieged Paris, marking a significant event in the history of Viking raids in Europe.",https://en.wikipedia.org/wiki/Siege_of_Paris_(845),5. Middle Ages
The Storming of the Winter Palace during the Russian Revolution,the-storming-of-the-winter-palace-during-the-russian-revolution,1917,"[59.9398, 30.3146]",foundational political moments,World War I,Europe,"Vladimir Lenin, Alexander Kerensky",crowds of revolutionaries; the Winter Palace; armed soldiers; banners and flags; early 20th-century military uniforms,"A highly detailed, photo-realistic image of The Storming of the Winter Palace during the Russian Revolution as it might have appeared at the time. The scene includes crowds of revolutionaries, the Winter Palace, armed soldiers, banners and flags, and early 20th-century military uniforms, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-storming-of-the-winter-palace-during-the-russian-revolution.jpg,3,AI-generated based on historical records,706f7196-157b-4969-a727-18cd4b25ae38,Russia,Saint Petersburg,Winter Palace,22,2,"The storming of the Winter Palace marked a pivotal moment in the Russian Revolution, symbolizing the fall of the provisional government and the rise of Bolshevik power.",https://en.wikipedia.org/wiki/Storming_of_the_Winter_Palace,7. Industrial Age
The Dropping of the Atomic Bomb on Hiroshima,the-dropping-of-the-atomic-bomb-on-hiroshima,1945,"[34.3853, 132.4553]",wars & battles,Showa Era,Asia,"Harry S. Truman, Paul Tibbets",mushroom cloud over Hiroshima; B-29 bomber Enola Gay; devastated cityscape; survivors in the aftermath; ruins of Hiroshima buildings,"A highly detailed, photo-realistic image of The Dropping of the Atomic Bomb on Hiroshima as it might have appeared at the time. The scene includes a mushroom cloud over Hiroshima, the B-29 bomber Enola Gay, a devastated cityscape, survivors in the aftermath, and ruins of Hiroshima buildings, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-dropping-of-the-atomic-bomb-on-hiroshima.jpg,3,AI-generated based on historical records,1257c5ec-b445-43d3-a069-c1d31ef1a5e6,Japan,Hiroshima,Hiroshima Peace Memorial,47,1,"On August 6, 1945, the world witnessed the devastating power of nuclear warfare as the atomic bomb was dropped on Hiroshima, marking a pivotal moment in World War II and altering the course of history.",https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki,7. Industrial Age
Angela Merkel becomes Chancellor of Germany,angela-merkel-becomes-chancellor-of-germany,2005,"[52.52, 13.405]",foundational political moments,European Union Era,Europe,Angela Merkel,Angela Merkel taking the oath; German Bundestag building; politicians in formal attire; German flag; audience of parliament members,"A highly detailed, photo-realistic image of Angela Merkel becomes Chancellor of Germany as it might have appeared at the time. The scene includes Angela Merkel taking the oath, German Bundestag building, politicians in formal attire, German flag, audience of parliament members, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/angela-merkel-becomes-chancellor-of-germany.jpg,3,AI-generated based on historical records,b591f2dd-cdd8-46bd-ae50-5654b4464e16,Germany,Berlin,German Bundestag,26,2,"In 2005, Angela Merkel made history by becoming the first female Chancellor of Germany, marking a significant moment in the country's political landscape.",https://en.wikipedia.org/wiki/Angela_Merkel,9. 21st Century
The Signing of the Maastricht Treaty establishing the EU,the-signing-of-the-maastricht-treaty-establishing-the-eu,1992,"[50.8514, 5.6909]",diplomacy & international relations,European Union Era,Europe,"Ruud Lubbers, François Mitterrand, Helmut Kohl, John Major",delegates signing the treaty; flags of European countries; conference room setting; formal attire of the early 1990s; Maastricht cityscape visible through windows,"A highly detailed, photo-realistic image of The Signing of the Maastricht Treaty establishing the EU as it might have appeared at the time. The scene includes delegates signing the treaty, flags of European countries, conference room setting, formal attire of the early 1990s, Maastricht cityscape visible through windows, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-signing-of-the-maastricht-treaty-establishing-the-eu.jpg,3,AI-generated based on historical records,94ba706e-d39b-42ec-b0bc-dad09b707a08,Netherlands,Maastricht,Maastricht,26,3,"The Maastricht Treaty marked a significant step in European integration, laying the foundation for the European Union and the euro currency.",https://en.wikipedia.org/wiki/Maastricht_Treaty,8. 20th Century
The Unification of Germany under Otto von Bismarck,the-unification-of-germany-under-otto-von-bismarck,1871,"[52.52, 13.405]",foundational political moments,Industrial Revolution,Europe,"Otto von Bismarck, Wilhelm I",Otto von Bismarck in a formal diplomatic setting; Wilhelm I being proclaimed Emperor; the Hall of Mirrors in the Palace of Versailles; military officers in 19th-century uniforms; German flags being raised,"A highly detailed, photo-realistic image of The Unification of Germany under Otto von Bismarck as it might have appeared at the time. The scene includes Otto von Bismarck in a formal diplomatic setting, Wilhelm I being proclaimed Emperor, the Hall of Mirrors in the Palace of Versailles, military officers in 19th-century uniforms, and German flags being raised, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-unification-of-germany-under-otto-von-bismarck.jpg,3,AI-generated based on historical records,c06b98ca-f99d-459b-99ae-435846c9e5fa,Germany,Versailles,Palace of Versailles,21,2,"The proclamation of the German Empire in 1871 marked a pivotal moment in European history, orchestrated by Otto von Bismarck in the opulent Hall of Mirrors.",https://en.wikipedia.org/wiki/Unification_of_Germany,7. Industrial Age
The Black Death in Europe,the-black-death-in-europe,1347,"[48.8566, 2.3522]",natural disasters,Medieval Europe,Europe,none,medieval city streets; plague doctors in masks; mass graves; abandoned villages; illustrations of the bubonic plague,"A medieval European city during the Black Death, with plague doctors in masks, empty streets, and a somber atmosphere, illustrating the impact of the bubonic plague.",/images/the-black-death-in-europe.jpg,3,AI-generated based on historical records,0315b5ae-ef91-4b5e-abbd-2bbc22e5ec7b,France,Paris,none,18,7,"The Black Death, which devastated Europe in the mid-14th century, arrived in France in 1347, drastically reducing the population and leading to significant social and economic upheaval, including the weakening of feudal structures and a shift in labor dynamics.",https://en.wikipedia.org/wiki/Black_Death,5. Middle Ages
The Election of Lech Wałęsa as President of Poland,the-election-of-lech-wa-sa-as-president-of-poland,1990,"[52.2297, 21.0122]",foundational political moments,Cold War Europe,Europe,Lech Wałęsa,Lech Wałęsa giving a victory speech; supporters waving Polish flags; historic buildings of Warsaw; media capturing the event; traditional Polish attire,"A highly detailed, photo-realistic image of The Election of Lech Wałęsa as President of Poland as it might have appeared at the time. The scene includes Lech Wałęsa giving a victory speech, supporters waving Polish flags, historic buildings of Warsaw, media capturing the event, and traditional Polish attire, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-election-of-lech-wa-sa-as-president-of-poland.jpg,3,AI-generated based on historical records,5afc9817-2629-4961-b50b-230c01363f32,Poland,Warsaw,Presidential Palace,25,2,"In 1990, Lech Wałęsa, a former shipyard worker and leader of the Solidarity movement, was elected as the first democratically elected President of Poland, marking a pivotal moment in the country's transition from communism to democracy.",https://en.wikipedia.org/wiki/Lech_Wa%C5%82%C4%99sa,8. 20th Century
The Establishment of the European Economic Community,the-establishment-of-the-european-economic-community,1957,"[50.8503, 4.3517]",foundational political moments,Cold War Europe,Europe,"Paul-Henri Spaak, Jean Monnet, Walter Hallstein",a large conference room with European flags; delegates in mid-20th century suits; signing of the Treaty of Rome; historic European architecture visible through windows; official documents on a large table,"A highly detailed, photo-realistic image of The Establishment of the European Economic Community as it might have appeared at the time. The scene includes a large conference room with European flags, delegates in mid-20th century suits, signing of the Treaty of Rome, historic European architecture visible through windows, official documents on a large table, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-establishment-of-the-european-economic-community.jpg,3,AI-generated based on historical records,f2a4fc50-a556-4006-85dc-7e8ccf740823,Belgium,Brussels,Palais des Congrès,25,2,"The signing of the Treaty of Rome in 1957 marked the birth of the European Economic Community, a pivotal step towards European integration.",https://en.wikipedia.org/wiki/Treaty_of_Rome,8. 20th Century
The First UN General Assembly held in London,the-first-un-general-assembly-held-in-london,1946,"[51.5074, -0.1278]",diplomacy & international relations,Cold War Europe,Europe,"Trygve Lie, Paul-Henri Spaak",delegates in formal attire; flags of member nations; conference hall setting; microphones and documents; historic architecture of Central Hall Westminster,"A highly detailed, photo-realistic image of The First UN General Assembly held in London as it might have appeared at the time. The scene includes delegates in formal attire, flags of member nations, a conference hall setting, microphones and documents, and the historic architecture of Central Hall Westminster, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-first-un-general-assembly-held-in-london.jpg,3,AI-generated based on historical records,22863eef-d88d-4c9d-a09a-5eb5d0ca4230,United Kingdom,London,Central Hall Westminster,25,3,"The inaugural session of the United Nations General Assembly marked a pivotal moment in global diplomacy, setting the stage for international cooperation in the post-war era.",https://en.wikipedia.org/wiki/First_session_of_the_United_Nations_General_Assembly,8. 20th Century
The End of the Last Ice Age and the Start of the Holocene,the-end-of-the-last-ice-age-and-the-start-of-the-holocene,-11700,"[0.0, 0.0]",natural disasters,Upper Paleolithic,Global,,retreating glaciers; emerging forests; early human settlements; wildlife adapting to new climates; rising sea levels,"A highly detailed, photo-realistic image of The End of the Last Ice Age and the Start of the Holocene as it might have appeared at the time. The scene includes retreating glaciers, emerging forests, early human settlements, wildlife adapting to new climates, and rising sea levels, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-end-of-the-last-ice-age-and-the-start-of-the-holocene.jpg,3,AI-generated based on historical records,ecc7446c-bd5c-4005-85fa-0baa97c3c32f,,,,103,7,"The end of the last Ice Age marked a significant climatic shift, leading to the start of the Holocene epoch around 11,700 BCE. This period saw the retreat of glaciers, the rise of sea levels, and the spread of forests, profoundly impacting early human societies and ecosystems.",https://en.wikipedia.org/wiki/Holocene,3. Late Prehistory
The Peasants' Revolt in England led by Wat Tyler,the-peasants-revolt-in-england-led-by-wat-tyler,1381,"[51.5074, -0.1278]",social movements & protests,Renaissance Europe,Europe,"Wat Tyler, John Ball, Richard II",a large group of peasants with farming tools; medieval London cityscape; King Richard II addressing the crowd; medieval clothing and armor; tents and makeshift camps,"A highly detailed, photo-realistic image of The Peasants' Revolt in England led by Wat Tyler as it might have appeared at the time. The scene includes a large group of peasants with farming tools, medieval London cityscape, King Richard II addressing the crowd, medieval clothing and armor, tents and makeshift camps, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-peasants-revolt-in-england-led-by-wat-tyler.jpg,3,AI-generated based on historical records,e5b83387-7447-4790-982d-fbba72f6ef81,England,London,Smithfield,19,5,"In 1381, the Peasants' Revolt marked a pivotal moment in English history, as commoners, led by Wat Tyler, rose against oppressive taxation and social injustices, challenging the monarchy's authority.",https://en.wikipedia.org/wiki/Peasants%27_Revolt,5. Middle Ages
The Golden Bull of 1356 issued by Emperor Charles IV,the-golden-bull-of-1356-issued-by-emperor-charles-iv,1356,"[49.4521, 11.0767]",law & justice,Medieval Europe,Europe,Emperor Charles IV,Emperor Charles IV presenting the Golden Bull; medieval council chamber; nobles and clergy in period attire; illuminated manuscript; imperial seal,"A highly detailed, photo-realistic image of The Golden Bull of 1356 issued by Emperor Charles IV as it might have appeared at the time. The scene includes Emperor Charles IV presenting the Golden Bull, a medieval council chamber, nobles and clergy in period attire, an illuminated manuscript, and an imperial seal, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-golden-bull-of-1356-issued-by-emperor-charles-iv.jpg,3,AI-generated based on historical records,2699f5c8-403a-4122-b155-eab63149d8e1,Holy Roman Empire,Nuremberg,Imperial Diet,18,4,"The Golden Bull of 1356 was a pivotal constitutional document that established the electoral process for the Holy Roman Empire, shaping its political landscape for centuries.",https://en.wikipedia.org/wiki/Golden_Bull_of_1356,5. Middle Ages
The foundation of the Kingdom of Portugal,the-foundation-of-the-kingdom-of-portugal,1139,"[39.3999, -8.2245]",foundational political moments,Medieval Europe,Europe,Afonso I of Portugal,Afonso I of Portugal being acclaimed by his troops; medieval banners and flags; knights in 12th-century armor; a rural landscape typical of 12th-century Iberia; a makeshift throne or platform,"A highly detailed, photo-realistic image of The foundation of the Kingdom of Portugal as it might have appeared at the time. The scene includes Afonso I of Portugal being acclaimed by his troops, medieval banners and flags, knights in 12th-century armor, a rural landscape typical of 12th-century Iberia, and a makeshift throne or platform, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-foundation-of-the-kingdom-of-portugal.jpg,3,AI-generated based on historical records,87aacac5-fa51-43ba-9a92-eef5bb0580e2,Portugal,,Ourique,18,2,"In 1139, Afonso I declared himself King of Portugal after a decisive victory at the Battle of Ourique, marking the foundation of the Kingdom of Portugal.",https://en.wikipedia.org/wiki/Kingdom_of_Portugal,5. Middle Ages
The launch of Voyager 1 carrying the Golden Record,the-launch-of-voyager-1-carrying-the-golden-record,1977,"[28.3922, -80.6077]",scientific & technological breakthroughs,Modern United States & Canada,Americas,"Carl Sagan, Frank Drake, Ann Druyan",Voyager 1 spacecraft on the launch pad; rocket engines igniting; NASA engineers observing the launch; control room with 1970s technology; Golden Record being prepared,"A highly detailed, photo-realistic image of The launch of Voyager 1 carrying the Golden Record as it might have appeared at the time. The scene includes Voyager 1 spacecraft on the launch pad, rocket engines igniting, NASA engineers observing the launch, control room with 1970s technology, Golden Record being prepared, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-launch-of-voyager-1-carrying-the-golden-record.jpg,3,AI-generated based on historical records,7f2aec47-eee7-49d5-9001-23a7375c8a3b,United States,Cape Canaveral,Kennedy Space Center,201,6,"Voyager 1, launched in 1977, carries a Golden Record with sounds and images representing Earth, intended for any extraterrestrial life that might encounter it.",https://en.wikipedia.org/wiki/Voyager_1,8. 20th Century
The Beatles' First Appearance on The Ed Sullivan Show,the-beatles-first-appearance-on-the-ed-sullivan-show,1964,"[40.759, -73.9845]",art & culture,Modern United States & Canada,Americas,"John Lennon, Paul McCartney, George Harrison, Ringo Starr, Ed Sullivan",The Beatles performing on stage; 1960s television cameras; enthusiastic audience; Ed Sullivan introducing the band; vintage stage lighting,"A highly detailed, photo-realistic image of The Beatles' First Appearance on The Ed Sullivan Show as it might have appeared at the time. The scene includes The Beatles performing on stage, 1960s television cameras, enthusiastic audience, Ed Sullivan introducing the band, vintage stage lighting, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-beatles-first-appearance-on-the-ed-sullivan-show.jpg,3,AI-generated based on historical records,0d285a7b-1bb6-4264-81ec-cdfdad74172c,United States,New York City,Ed Sullivan Theater,201,10,"The Beatles' debut on The Ed Sullivan Show on February 9, 1964, marked a pivotal moment in music history, drawing an estimated 73 million viewers and igniting the 'British Invasion' in America, forever changing the landscape of popular music.",https://en.wikipedia.org/wiki/The_Beatles%27_first_American_television_appearance,8. 20th Century
The Rolling Stones Free Concert at Altamont,the-rolling-stones-free-concert-at-altamont,1969,"[37.7425, -121.5556]",art & culture,Modern United States & Canada,Americas,"The Rolling Stones, Hells Angels, Jefferson Airplane, Santana, Crosby, Stills, Nash & Young",a large crowd of concertgoers; a stage with musicians performing; members of the Hells Angels providing security; 1960s fashion and hairstyles; rolling hills of the Altamont Speedway,"A highly detailed, photo-realistic image of The Rolling Stones Free Concert at Altamont as it might have appeared at the time. The scene includes a large crowd of concertgoers, a stage with musicians performing, members of the Hells Angels providing security, 1960s fashion and hairstyles, rolling hills of the Altamont Speedway, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-rolling-stones-free-concert-at-altamont.jpg,3,AI-generated based on historical records,2699e54c-8f65-429c-be48-d2248ef1a107,United States,,Altamont Speedway,201,10,"The Rolling Stones Free Concert at Altamont, held on December 6, 1969, is infamous for the violence that erupted, including the stabbing death of a concertgoer, which marked a tragic end to the 1960s counterculture movement.",https://en.wikipedia.org/wiki/Altamont_Free_Concert,8. 20th Century
The founding of the Teutonic Order,the-founding-of-the-teutonic-order,1190,"[49.4521, 11.0767]",religious history,Medieval Europe,Europe,Duke Frederick of Swabia,medieval knights in white mantles with black crosses; a gathering of clergy and nobility; a medieval castle or fortress; banners with the Teutonic cross; a ceremonial founding event,"A highly detailed, photo-realistic image of The founding of the Teutonic Order as it might have appeared at the time. The scene includes medieval knights in white mantles with black crosses, a gathering of clergy and nobility, a medieval castle or fortress, banners with the Teutonic cross, and a ceremonial founding event, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-founding-of-the-teutonic-order.jpg,3,AI-generated based on historical records,81014afc-3100-45b0-83ec-10a9af10e6e0,Germany,Acre,Acre,18,12,"The Teutonic Order was established during the Siege of Acre, initially as a hospital order to aid Christians on their pilgrimage to the Holy Land.",https://en.wikipedia.org/wiki/Teutonic_Order,5. Middle Ages
Bob Dylan 'Goes Electric' at Newport Folk Festival,bob-dylan-goes-electric-at-newport-folk-festival,1965,"[41.4881, -71.3128]",art & culture,Modern United States & Canada,Americas,Bob Dylan,Bob Dylan playing an electric guitar; audience reactions; 1960s folk festival stage; microphones and amplifiers from the 1960s; musicians with acoustic instruments,"A highly detailed, photo-realistic image of Bob Dylan 'Goes Electric' at Newport Folk Festival as it might have appeared at the time. The scene includes Bob Dylan playing an electric guitar, audience reactions, a 1960s folk festival stage, microphones and amplifiers from the 1960s, musicians with acoustic instruments, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/bob-dylan-goes-electric-at-newport-folk-festival.jpg,3,AI-generated based on historical records,eaef9bcb-e4ee-4eff-a1d2-a21ac19b437a,United States,Newport,Newport Folk Festival,201,10,"Bob Dylan's controversial performance at the 1965 Newport Folk Festival marked a pivotal moment in music history, as he defied folk purists by using electric instruments, signaling a shift towards rock music and altering the landscape of popular music forever.",https://en.wikipedia.org/wiki/Electric_Dylan_controversy,8. 20th Century
The premiere of Michael Jackson's Thriller music video,the-premiere-of-michael-jackson-s-thriller-music-video,1983,"[34.0522, -118.2437]",art & culture,Modern United States & Canada,Americas,"Michael Jackson, John Landis",Michael Jackson in his iconic red jacket; a group of dancers in zombie costumes; a vintage movie theater marquee; 1980s street fashion; a bustling Los Angeles street scene,"A highly detailed, photo-realistic image of The premiere of Michael Jackson's Thriller music video as it might have appeared at the time. The scene includes Michael Jackson in his iconic red jacket, a group of dancers in zombie costumes, a vintage movie theater marquee, 1980s street fashion, a bustling Los Angeles street scene, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-premiere-of-michael-jackson-s-thriller-music-video.jpg,3,AI-generated based on historical records,e6b673d4-3b4a-45f6-bc09-cf010e8e12f6,United States,Los Angeles,Los Angeles,201,10,"The premiere of Michael Jackson's 'Thriller' music video on December 2, 1983, marked a revolutionary moment in music history, blending film and music in an unprecedented way and setting a new standard for music video production with its 14-minute horror-themed narrative.",https://en.wikipedia.org/wiki/Thriller_(music_video),8. 20th Century
The Siege of Vienna,the-siege-of-vienna,1683,"[48.2082, 16.3738]",wars & battles,Age of Exploration,Europe,"John III Sobieski, Kara Mustafa Pasha, Leopold I",Ottoman soldiers in traditional attire; European defenders on the city walls; cannons and siege equipment; Vienna cityscape in the background; battlefield with smoke and chaos,"A highly detailed, photo-realistic image of The Siege of Vienna as it might have appeared at the time. The scene includes Ottoman soldiers in traditional attire, European defenders on the city walls, cannons and siege equipment, Vienna cityscape in the background, and a battlefield with smoke and chaos, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-siege-of-vienna.jpg,3,AI-generated based on historical records,3ca4a0f6-aecf-4627-aec4-507d0213015c,Austria,Vienna,Vienna city walls,20,1,"The Siege of Vienna in 1683 marked a turning point in European history, as the city's defenders, aided by the Polish King John III Sobieski, repelled the Ottoman Empire's advance.",https://en.wikipedia.org/wiki/Battle_of_Vienna,6. Early Modern Era
The release of the first iPhone by Steve Jobs,the-release-of-the-first-iphone-by-steve-jobs,2007,"[37.33182, -122.03118]",scientific & technological breakthroughs,Modern United States & Canada,Americas,Steve Jobs,Steve Jobs holding the first iPhone; audience in the background; large screen displaying iPhone features; modern stage setup; enthusiastic crowd,"A highly detailed, photo-realistic image of The release of the first iPhone by Steve Jobs as it might have appeared at the time. The scene includes Steve Jobs holding the first iPhone, audience in the background, large screen displaying iPhone features, modern stage setup, enthusiastic crowd, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/the-release-of-the-first-iphone-by-steve-jobs.jpg,3,AI-generated based on historical records,e9fcd583-51d0-4c4d-a5be-943130516534,United States,San Francisco,Macworld Conference & Expo,201,6,"The release of the first iPhone on June 29, 2007, marked a revolutionary shift in mobile technology, combining a phone, an iPod, and an internet communicator into a single device, fundamentally changing how people interact with technology and paving the way for the modern smartphone era.",https://en.wikipedia.org/wiki/IPhone_(1st_generation),9. 21st Century
Woodstock Festival,woodstock-festival,1969,"[41.7014, -74.8803]",art & culture,Modern United States & Canada,Americas,"Jimi Hendrix, Janis Joplin, The Who, Santana, Joan Baez",large crowds of people; open-air stage with musicians; colorful tents and banners; people in 1960s hippie clothing; muddy fields,"A highly detailed, photo-realistic image of Woodstock Festival as it might have appeared at the time. The scene includes large crowds of people, an open-air stage with musicians, colorful tents and banners, people in 1960s hippie clothing, and muddy fields, depicted with authentic clothing, environment, and technology from the historical era. Captured as if by a high-resolution camera. No text or modern artifacts. Realistic proportions, cinematic style.",/images/woodstock-festival.jpg,3,AI-generated based on historical records,9e46550e-3782-4be3-a92e-4351df9ffc66,United States,,"Bethel, New York",201,10,"The Woodstock Festival, held in August 1969 on a dairy farm in Bethel, New York, became a pivotal moment in music history, symbolizing the counterculture movement and featuring legendary performances by artists like Jimi Hendrix and Janis Joplin.",https://en.wikipedia.org/wiki/Woodstock,8. 20th Century
